,municipios,votos_P_P_D,pct_P_P_D,votos_P_E_R,pct_P_E_R,votos_P_A_C,pct_P_A_C,votos_P_I_P,pct_P_I_P,total
0,Adjuntas,"3,931",58.6,"2,461",36.7,160,2.4,157,2.3,"6,709"
1,Aguada,"2,906",47.7,490,8.0,"2,502",41.1,190,3.1,"6,088"
2,Aguadilla,"6,995",54.1,"5,180",40.1,270,2.1,476,3.7,"12,921"
3,Aguas Buenas,"3,046",53.9,"1,813",32.1,562,9.9,232,4.1,"5,653"
4,Aibonito,"3,988",64.3,"1,240",20.0,884,14.2,93,1.5,"6,205"
5,Añasco,"3,515",55.9,"2,483",39.5,185,2.9,100,1.6,"6,283"
6,Arecibo,"17,463",62.3,"8,898",31.7,752,2.7,917,3.3,"28,030"
7,Arroyo,"2,775",59.0,"1,621",34.4,127,2.7,184,3.9,"4,707"
8,Barceloneta,"5,020",67.0,"2,119",28.3,238,3.2,117,1.6,"7,494"
9,Barranquitas,"3,494",60.9,244,4.3,"1,903",33.2,93,1.6,"5,734"
10,Bayamón,"12,053",56.3,"7,861",36.7,834,3.9,643,3.0,"21,391"
11,Cabo Rojo,"5,006",59.1,"2,475",29.2,229,2.7,767,9.0,"8,477"
12,Caguas,"13,004",59.0,"4,609",20.9,"3,750",17.0,674,3.1,"22,037"
13,Camuy,"4,582",62.5,"2,247",30.6,377,5.1,126,1.7,"7,332"
14,Carolina,"7,286",63.1,"3,866",33.5,176,1.5,218,1.9,"11,546"
15,Cataño,"4,028",47.6,"3,955",46.7,275,3.2,211,2.5,"8,469"
16,Cayey,"8,219",66.7,"2,885",23.4,945,7.7,271,2.2,"12,320"
17,Ceiba,"1,730",66.7,797,30.7,23,0.9,44,1.7,"2,594"
18,Ciales,"3,553",60.0,"1,592",26.9,669,11.3,103,1.7,"5,917"
19,Cidra,"3,536",57.3,522,8.5,"1,889",30.6,226,3.7,"6,173"
20,Coamo,"5,025",57.5,"3,170",36.3,439,5.0,110,1.3,"8,744"
21,Comerío,"4,343",76.0,486,8.5,815,14.3,67,1.2,"5,711"
22,Corozal,"3,923",47.0,"2,998",35.9,"1,320",15.8,102,1.2,"8,343"
23,Culebra,199,64.6,105,34.1,0,0.0,4,1.3,308
24,Dorado,"3,238",72.7,"1,026",23.0,66,1.5,123,2.8,"4,453"
25,Fajardo,"3,916",50.1,"3,573",45.7,85,1.1,242,3.1,"7,816"
26,Guánica,"2,623",53.8,"1,987",40.8,73,1.5,191,3.9,"4,874"
27,Guayama,"7,081",67.2,"2,398",22.8,758,7.2,297,2.8,"10,534"
28,Guayanilla,"3,919",66.0,"1,639",27.6,51,0.9,329,5.5,"5,938"
29,Guaynabo,"5,674",51.8,"4,487",40.9,556,5.1,243,2.2,"10,960"
30,Gurabo,"4,731",79.3,"1,033",17.3,105,1.8,96,1.6,"5,965"
31,Hatillo,"4,528",65.9,"1,483",21.6,625,9.1,239,3.5,"6,875"
32,Hormigueros,"1,864",64.8,804,27.9,48,1.7,161,5.6,"2,877"
33,Humacao,"8,615",70.9,"2,750",22.6,559,4.6,221,1.8,"12,145"
34,Isabela,"6,124",59.1,"3,281",31.7,304,2.9,648,6.3,"10,357"
35,Jayuya,"2,723",59.6,898,19.7,784,17.2,162,3.5,"4,567"
36,Juana Díaz,"5,432",57.8,"3,592",38.2,201,2.1,176,1.9,"9,401"
37,Juncos,"5,022",61.8,"2,773",34.1,98,1.2,239,2.9,"8,132"
38,Lajas,"3,582",69.6,"1,401",27.2,62,1.2,102,2.0,"5,147"
39,Lares,"5,085",63.2,"2,227",27.7,363,4.5,366,4.6,"8,041"
40,Las Marías,"2,212",76.4,588,20.3,17,0.6,77,2.7,"2,894"
41,Las Piedras,"3,218",56.3,"2,192",38.3,246,4.3,60,1.0,"5,716"
42,Loíza,"6,098",64.2,"2,896",30.5,81,0.9,426,4.5,"9,501"
43,Luquillo,"2,164",63.3,"1,151",33.7,30,0.9,73,2.1,"3,418"
44,Manatí,"6,516",59.2,"3,969",36.1,289,2.6,225,2.0,"10,999"
45,Maricao,"1,266",66.0,615,32.0,13,0.7,25,1.3,"1,919"
46,Maunabo,"2,423",71.0,462,13.5,397,11.6,130,3.8,"3,412"
47,Mayagüez,"16,973",58.4,"9,873",33.9,987,3.4,"1,255",4.3,"29,088"
48,Moca,"3,611",53.6,"2,332",34.6,679,10.1,113,1.7,"6,735"
49,Morovis,"3,825",57.0,"1,970",29.3,832,12.4,89,1.3,"6,716"
50,Naguabo,"3,550",56.7,"2,476",39.5,182,2.9,58,0.9,"6,266"
51,Naranjito,"4,090",67.9,"1,161",19.3,714,11.9,57,0.9,"6,022"
52,Orocovis,"3,379",52.8,"2,070",32.4,903,14.1,44,0.7,"6,396"
53,Patillas,"3,411",58.1,"1,484",25.3,797,13.6,180,3.1,"5,872"
54,Peñuelas,"3,037",55.9,"1,940",35.7,219,4.0,234,4.3,"5,430"
55,Ponce,"24,120",52.1,"18,018",38.9,"2,263",4.9,"1,939",4.2,"46,340"
56,Quebradillas,"2,360",50.8,423,9.1,"1,749",37.6,118,2.5,"4,650"
57,Rincón,"2,009",63.1,324,10.2,759,23.8,93,2.9,"3,185"
58,Río Grande,"3,841",63.2,"2,067",34.0,38,0.6,134,2.2,"6,080"
59,Sabana Grande,"4,478",73.4,"1,287",21.1,239,3.9,96,1.6,"6,100"
60,Salinas,"5,810",76.6,"1,436",18.9,161,2.1,181,2.4,"7,588"
61,San Germán,"6,301",64.6,"2,758",28.3,420,4.3,272,2.8,"9,751"
62,San Juan,"81,696",51.7,"63,514",40.2,"7,643",4.8,"5,289",3.3,"158,142"
63,San Lorenzo,"3,485",37.9,"3,501",38.1,"2,084",22.7,114,1.2,"9,184"
64,San Sebastián,"6,754",61.2,"2,955",26.8,468,4.2,851,7.7,"11,028"
65,Santa Isabel,"2,963",63.0,"1,515",32.2,105,2.2,121,2.6,"4,704"
66,Toa Alta,"3,559",71.0,"1,231",24.6,171,3.4,50,1.0,"5,011"
67,Toa Baja,"3,906",65.0,"1,901",31.6,99,1.6,107,1.8,"6,013"
68,Trujillo Alto,"3,691",59.6,"2,050",33.1,265,4.3,187,3.0,"6,193"
69,Utuado,"7,383",60.7,"3,661",30.1,673,5.5,445,3.7,"12,162"
70,Vega Alta,"3,665",60.3,"1,793",29.5,424,7.0,192,3.2,"6,074"
71,Vega Baja,"6,286",60.3,"2,840",27.2,"1,062",10.2,242,2.3,"10,430"
72,Vieques,"1,776",63.0,876,31.1,6,0.2,162,5.7,"2,820"
73,Villalba,"3,167",61.2,"1,447",27.9,519,10.0,45,0.9,"5,178"
74,Yabucoa,"5,876",57.6,"2,029",19.9,"2,209",21.7,86,0.8,"10,200"
75,Yauco,"7,083",64.4,"2,968",27.0,470,4.3,481,4.4,"11,002"
76,"Total,Puerto Rico","459,759",58.2,"253,242",32.1,"52,275",6.6,"24,211",3.1,"789,487"
